source,target,edge_property
0,0,good
0,0,good
0,0,good
0,1,good
0,2,good
0,2,good
0,4,good
0,4,good
0,6,good
0,553,good
0,690,good
0,18,good
0,20,good
0,408,good
1,0,good
1,33,good
1,2,good
1,2,good
1,2,good
1,3,good
1,3,good
1,4,good
1,42,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,0,good
2,1,good
2,1,good
2,1,good
2,1,good
2,1,good
2,1,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,2,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,3,good
2,4,good
2,4,good
2,4,good
2,4,good
2,4,good
2,4,good
2,4,good
2,4,good
2,4,good
2,4,good
2,6,good
2,6,good
2,6,good
2,6,good
2,6,good
2,6,good
2,6,good
2,6,good
2,6,good
2,6,good
2,9,good
2,11,good
2,11,good
2,11,good
2,11,good
2,514,good
2,143,good
2,408,good
2,18,good
2,18,good
2,20,good
2,152,good
2,25,good
2,543,good
2,33,good
2,35,good
2,36,good
2,36,good
2,166,good
2,39,good
2,39,good
2,39,good
2,39,good
2,39,good
2,42,good
2,42,good
2,42,good
2,558,good
2,47,good
2,179,good
2,478,good
2,54,good
2,54,good
2,54,good
2,59,good
2,60,good
2,63,good
2,63,good
2,194,good
2,71,good
2,73,good
2,844,good
2,78,good
2,78,good
2,79,good
2,79,good
2,79,good
2,849,good
2,590,good
2,88,good
2,783,good
2,93,good
2,350,good
2,97,good
2,571,good
2,486,good
2,161,good
2,368,good
2,113,good
2,116,good
2,116,good
2,629,good
2,118,good
2,118,good
2,375,good
2,382,good
2,255,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,0,good
4,1,good
4,1,good
4,1,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,2,good
4,3,good
4,3,good
4,3,good
4,3,good
4,3,good
4,3,good
4,3,good
4,3,good
4,3,good
4,4,good
4,4,good
4,4,good
4,4,good
4,4,good
4,5,good
4,6,good
4,11,good
4,131,good
4,20,good
4,22,good
4,36,good
4,813,good
4,558,good
4,47,good
4,55,good
4,79,good
4,91,good
4,353,good
4,356,good
4,101,good
4,104,good
4,118,good
4,118,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,0,good
5,1,good
5,1,good
5,2,good
5,2,good
5,2,good
5,2,good
5,2,good
5,2,good
5,2,good
5,2,good
5,2,good
5,3,good
5,3,good
5,3,good
5,3,good
5,3,good
5,4,good
5,4,good
5,4,good
5,6,good
5,6,good
5,6,good
5,391,good
5,10,good
5,130,good
5,22,good
5,163,good
5,41,good
5,47,good
5,816,good
5,177,good
5,690,good
5,54,good
5,54,good
5,59,good
5,63,good
5,582,good
5,970,good
5,76,good
5,79,good
5,79,good
5,986,good
5,101,good
5,104,good
5,113,good
5,246,good
5,376,good
5,766,good
7,0,good
7,0,good
7,0,good
7,0,good
7,0,good
7,0,good
7,0,good
7,1,good
7,1,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,2,good
7,3,good
7,3,good
7,3,good
7,3,good
7,4,good
7,4,good
7,4,good
7,4,good
7,5,good
7,6,good
7,6,good
7,137,good
7,11,good
7,11,good
7,11,good
7,39,good
7,42,good
7,44,good
7,54,good
7,9,good
7,9,good
7,56,good
7,59,good
7,60,good
7,78,good
7,78,good
7,79,good
7,83,good
7,462,good
7,227,good
7,316,good
7,115,good
7,246,good
7,246,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,0,good
8,2,good
8,2,good
8,2,good
8,2,good
8,2,good
8,2,good
8,3,good
8,3,good
8,3,good
8,4,good
8,4,good
8,4,good
8,4,good
8,4,good
8,5,good
8,263,good
8,522,good
8,11,good
8,17,good
8,18,good
8,417,good
8,35,good
8,169,good
8,44,good
8,73,good
8,332,good
8,971,good
8,76,good
8,79,good
8,348,good
8,734,good
8,351,good
8,353,good
8,108,good
8,118,good
9,0,good
9,0,good
9,0,good
9,0,good
9,2,good
9,2,good
9,4,good
9,4,good
9,5,good
9,5,good
9,6,good
9,9,good
9,9,good
9,142,good
9,79,good
9,112,good
9,63,good
10,0,good
10,0,good
10,352,good
10,2,good
10,2,good
10,2,good
10,2,good
10,3,good
10,4,good
10,4,good
10,5,good
10,6,good
10,42,good
10,11,good
10,116,good
10,664,good
10,100,good
12,0,good
12,0,good
12,0,good
12,0,good
12,32,good
12,2,good
12,2,good
12,3,good
12,3,good
12,262,good
12,11,good
12,76,good
12,131,good
13,1,good
14,0,good
14,97,good
14,2,good
14,2,good
14,4,good
14,4,good
14,101,good
14,6,good
14,6,good
14,39,good
14,9,good
14,42,good
14,79,good
14,177,good
14,118,good
14,644,good
14,350,good
15,0,good
15,0,good
15,0,good
15,290,good
15,11,good
15,333,good
15,6,good
16,2,good
16,39,good
17,6,good
18,2,good
18,2,good
18,3,good
18,76,good
18,54,good
19,0,good
19,0,good
19,0,good
19,0,good
19,2,good
19,2,good
19,2,good
19,2,good
19,2,good
19,2,good
19,3,good
19,3,good
19,36,good
19,5,good
19,39,good
19,39,good
19,11,good
19,35,good
19,20,good
19,61,good
19,389,good
20,0,good
20,0,good
20,32,good
20,2,good
20,2,good
20,2,good
20,2,good
20,2,good
20,2,good
20,3,good
20,3,good
20,4,good
20,4,good
20,4,good
20,6,good
20,6,good
20,6,good
20,231,good
20,11,good
20,11,good
20,78,good
20,47,good
20,785,good
20,310,good
20,39,good
20,207,good
21,937,good
21,2,good
21,2,good
21,2,good
21,2,good
21,3,good
21,131,good
21,6,good
22,3,good
22,1,good
22,11,good
22,44,good
23,2,good
23,3,good
23,3,good
23,5,good
24,1,good
26,0,good
26,0,good
26,0,good
26,32,good
26,32,good
26,2,good
26,2,good
26,2,good
26,3,good
26,4,good
26,389,good
26,6,good
26,6,good
26,398,good
26,113,good
26,370,good
26,118,good
26,118,good
26,152,good
26,508,good
26,230,good
27,0,good
27,0,good
27,0,good
27,3,good
27,4,good
27,4,good
27,4,good
27,139,good
27,115,good
27,54,good
28,19,good
29,0,good
29,3,good
29,4,good
29,39,good
30,0,good
30,2,good
30,2,good
30,3,good
30,6,good
30,11,good
30,437,good
31,0,good
31,0,good
31,0,good
31,0,good
31,384,good
31,227,good
31,4,good
31,39,good
31,11,good
31,387,good
31,19,good
31,375,good
31,410,good
31,668,good
31,543,good
32,3,good
34,0,good
34,0,good
34,1,good
34,2,good
34,6,good
34,397,good
34,46,good
34,79,good
34,243,good
35,0,good
35,11,good
35,118,good
36,0,good
36,1,good
37,352,good
37,2,good
37,4,good
37,5,good
37,79,good
37,48,good
37,635,good
38,1,good
38,2,good
38,2,good
38,3,good
38,3,good
38,3,good
38,6,good
38,18,good
38,538,good
40,2,good
40,2,good
40,2,good
40,2,good
42,0,good
42,353,good
42,2,good
42,2,good
42,3,good
42,4,good
42,6,good
42,140,good
42,179,good
42,543,good
43,32,good
43,1,good
43,1,good
43,3,good
43,3,good
43,4,good
43,4,good
43,5,good
43,6,good
43,967,good
43,11,good
43,301,good
44,0,good
44,0,good
44,992,good
44,2,good
44,2,good
44,2,good
44,3,good
44,4,good
44,169,good
44,194,good
44,22,good
44,63,good
45,0,good
45,32,good
45,2,good
45,2,good
45,4,good
45,554,good
46,0,good
46,2,good
46,3,good
46,3,good
46,3,good
46,39,good
46,944,good
46,28,good
47,9,good
47,6,good
48,11,good
48,3,good
48,5,good
48,63,good
49,2,good
50,0,good
51,0,good
51,1,good
51,1,good
51,2,good
51,2,good
51,54,good
51,6,good
52,0,good
52,1,good
52,2,good
52,2,good
52,2,good
52,3,good
52,3,good
